food.description,nutrient_name,nutrient_id,food_nutrient.percent_daily_value,branded_food.brand_owner,food.fdc_id
0% FAT FREE MILK,Protein,1003,16.0,"Topco Associates, Inc.",1111688
0% FAT FREE MILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113982
0% FAT FREE MILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113982
0% FAT FREE MILK,"Calcium, Ca",1087,25.0,"Topco Associates, Inc.",1111688
0% FAT FREE MILK,Protein,1003,16.0,"Topco Associates, Inc.",1111688
0% FAT FREE MILK,"Calcium, Ca",1087,25.0,"Topco Associates, Inc.",1111688
0% FAT-FREE MILK,Protein,1003,16.0,"Danone US, LLC",1118875
0% FAT-FREE MILK,"Calcium, Ca",1087,25.0,"Danone US, LLC",1118875
0% FAT-FREE MILK,"Calcium, Ca",1087,25.0,"Danone US, LLC",1118875
0% FAT-FREE MILK,Protein,1003,16.0,"Danone US, LLC",1118875
0% MILKFAT NONFAT GREEK STRAINED YOGURT,Protein,1003,46.0,Game Technology System Inc.,1107330
0% MILKFAT NONFAT GREEK STRAINED YOGURT,Protein,1003,46.0,Game Technology System Inc.,1107330
0% MILKFAT NONFAT GREEK STRAINED YOGURT,"Calcium, Ca",1087,25.0,Game Technology System Inc.,1107330
0% MILKFAT NONFAT GREEK STRAINED YOGURT,"Calcium, Ca",1087,25.0,Game Technology System Inc.,1107330
0% ORGANIC FAT FREE MILK,"Calcium, Ca",1087,25.0,Rafael Padilla & Cia S. En C.,1137263
0% ORGANIC FAT FREE MILK,Protein,1003,16.0,Rafael Padilla & Cia S. En C.,1137263
0% ORGANIC FAT FREE MILK,Protein,1003,16.0,Rafael Padilla & Cia S. En C.,1137263
0% ORGANIC FAT FREE MILK,"Calcium, Ca",1087,25.0,Rafael Padilla & Cia S. En C.,1137263
"1 APPLE + 1 BANANA FRUIT BAR, APPLE + BANANA","Fiber, total dietary",1079,14.0,"That's It Nutrition, LLC ",1106232
"1 APPLE + 1 BANANA FRUIT BAR, APPLE + BANANA","Fiber, total dietary",1079,14.0,"That's It Nutrition, LLC ",1106232
"1 APPLE + 1 MANGO + CHILI FRUIT BAR, APPLE + MANGO + CHILI","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1117157
"1 APPLE + 1 MANGO + CHILI FRUIT BAR, APPLE + MANGO + CHILI","Vitamin C, total ascorbic acid",1162,15.0,"That's It Nutrition, LLC ",1117157
"1 APPLE + 1 MANGO + CHILI FRUIT BAR, APPLE + MANGO + CHILI","Vitamin C, total ascorbic acid",1162,15.0,"That's It Nutrition, LLC ",1117157
"1 APPLE + 1 MANGO + CHILI FRUIT BAR, APPLE + MANGO + CHILI","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1117157
"1 APPLE + 1 PEAR + GINGER FRUIT BAR, APPLE + PEAR + GINGER","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1117156
"1 APPLE + 1 PEAR + GINGER FRUIT BAR, APPLE + PEAR + GINGER","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1117156
"1 APPLE + 1 PEAR FRUIT BAR, APPLE + PEAR","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1106619
"1 APPLE + 1 PEAR FRUIT BAR, APPLE + PEAR","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1106619
"1 APPLE + 1/4 PINEAPPLE FRUIT BAR, APPLE + PINEAPPLE","Fiber, total dietary",1079,18.0,"That's It Nutrition, LLC ",1117155
"1 APPLE + 1/4 PINEAPPLE FRUIT BAR, APPLE + PINEAPPLE","Fiber, total dietary",1079,18.0,"That's It Nutrition, LLC ",1117155
"1 APPLE + 10 CHERRIES FRUIT BAR, APPLE + CHERRIES","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1109471
"1 APPLE + 10 CHERRIES FRUIT BAR, APPLE + CHERRIES","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1109471
"1 APPLE + 3 APRICOTS FRUIT BAR, APPLE + APRICOTS","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1106618
"1 APPLE + 3 APRICOTS FRUIT BAR, APPLE + APRICOTS","Fiber, total dietary",1079,11.0,"That's It Nutrition, LLC ",1106618
1% LOW FAT BUTTERMILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1114002
1% LOW FAT BUTTERMILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1114002
1% LOW FAT BUTTERMILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113984
1% LOW FAT BUTTERMILK,"Calcium, Ca",1087,30.0,"Darigold, Inc. ",1113984
1% LOW FAT MILK,Protein,1003,22.0,Glencourt Inc.,1112563
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,Aldi Inc.,1125425
1% LOW FAT MILK,Protein,1003,16.0,BJ's Wholesale Club / Corporate Brands,1116381
1% LOW FAT MILK,Protein,1003,16.0,BJ's Wholesale Club / Corporate Brands,1116381
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,BJ's Wholesale Club / Corporate Brands,1116381
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,BJ's Wholesale Club / Corporate Brands,1116381
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,BJ's Wholesale Club / Corporate Brands,1116381
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,BJ's Wholesale Club / Corporate Brands,1116381
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,Aldi Inc.,1125425
1% LOW FAT MILK,Protein,1003,16.0,Aldi Inc.,1125425
1% LOW FAT MILK,Protein,1003,16.0,Aldi Inc.,1125425
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,Aldi Inc.,1125425
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,Aldi Inc.,1125425
1% LOW FAT MILK,Protein,1003,16.0,"Topco Associates, Inc.",1131310
1% LOW FAT MILK,Protein,1003,16.0,"Topco Associates, Inc.",1131310
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,"Topco Associates, Inc.",1131310
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,"Topco Associates, Inc.",1131310
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,BJ's Wholesale Club / Corporate Brands,1118134
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,Wakefern Food Corporation,1138236
1% LOW FAT MILK,"Calcium, Ca",1087,25.0,Wakefern Food Corporation,1138236
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,Raley's,1124530
1% LOW FAT MILK,"Calcium, Ca",1087,30.0,Raley's,1124530
1% LOW FAT MILK,Protein,1003,22.0,Raley's,1124530
1% LOW FAT MILK,"Vitamin A, IU",1104,15.0,BJ's Wholesale Club / Corporate Brands,1118134
